name, artist, album, genre, played
"Piano Concerto No. 2 In C Minor, Op. 18",Rachmaninov,The Most Relaxing Classical Album In The World Ever,Classical,42
"Sledgehammer (From ""Star Trek Beyond"")",Rihanna,"Sledgehammer (From ""Star Trek Beyond"") - Single",Pop,42
MTV Unplugged 2 - Dil Se,A.R. Rahman,MTV Unplugged,Video,41
All I Ask,Adele,Adele 25,,41
Don't You Remember,Adele,21,Pop,41
"Tu Mere Paas (From ""Wazir"") | SongsMp3.Com",Ankit Tiwari,Wazir (2016),Bollywood,41
Naanum Rowdy Dhaan [HqMp3Songs.Com],Benny Dayal,Naanum Rowdy Dhaan (2015),Tamil,41
Hymn for the Weekend,Coldplay,A Head Full of Dreams,Alternative,41
Track 7,M L Vasanthakumari,Thiruppavai Vol 1,Genre,41
Pal Pal Hai Bhaari,"Madhusree, Vijay Prakash and Ashutosh Gowariker",Swades,Indian Film Pop,41
Dekho Na,Udit Narayan and Alka Yagnik,Swades,Indian Film Pop,41
Stand By Me,Ben E. King,Rhino Hi-Five: Ben E. King - EP,R&B/Soul,40
How Deep Is Your Love,Calvin Harris & Disciples,How Deep Is Your Love - Single,Dance,40
Attention,Charlie Puth,Voicenotes,Pop,40
Colour Spectrum,Coldplay,A Head Full of Dreams,Alternative,40
Farewell,정성하,Irony,Popular New Age,40
Track 5,M L Vasanthakumari,Thiruppavai Vol 1,Genre,39
YETEERUGANANU,NITYASANTOSHINI,SRI RAMADASU KRITHIS,Other,39
Beethoven's 5 Secrets,The Piano Guys and Lyceum Orchestra,Beethoven's 5 Secrets,Other Pop,39
Fall Out Boy - Centuries (Hyperlapse Edition),,,,39
Don't Let Me Down (feat. Daya),The Chainsmokers,Collage - EP,Dance,38
Demons,Imagine Dragons,Continued Silence [EP],Adult Alternative Rock,38
Hopeless Opus,Imagine Dragons,Smoke + Mirrors,Alternative,38
Track 6,M L Vasanthakumari,Thiruppavai Vol 1,Genre,38
Indiane Vaa - TamilTunes.com,A.R. Rahman,Lingaa (2014),,37
Kadhal Ondru (Tamil),"A.R.Rahman, Naresh Iyer, Karthik",One Love - Taj,A.R.Rahman - Other,37
Turning Tabels,Adele,21,Pop,37
All I Ask,Adele,25,Pop,37
Track 4,M L Vasanthakumari,Thiruppavai Vol 1,Genre,37
Track 8,M L Vasanthakumari,Thiruppavai Vol 1,Genre,37
Track 13,M L Vasanthakumari,Thiruppavai Vol 1,Genre,37
CHANDANA CHARCHITHA,NITYASANTOSHINI,SRI JAYADEVA ASHTAPADI,Other,37
Where Are Ü Now (with Justin Bieber),Skrillex & Diplo,Skrillex and Diplo Present Jack Ü,Dance,37
