"acousticness","album","album_uri","analysis_url","artist","artist_uri","danceability","duration_ms","energy","id","instrumentalness","key","liveness","loudness","mode","name","name_uri","play_count","popularity","speechiness","tempo","time_signature","track_href","type","uri","valence"
"0.437","Vikram Vedha (Original Motion Picture Soundtrack)","spotify:album:70cftH7NeXGgJYH3iyos0m","https://api.spotify.com/v1/audio-analysis/3ofnkr6j3FLAHc2eTh9YnQ","Sivam","spotify:artist:52yAITEPYVr5ZEQL0KJyQX","0.425","195818","0.595","3ofnkr6j3FLAHc2eTh9YnQ","0.000826","2","0.0958","-8.296","1","Karuppu Vellai","spotify:track:3ofnkr6j3FLAHc2eTh9YnQ","12","41","0.0533","109.91","4","https://api.spotify.com/v1/tracks/3ofnkr6j3FLAHc2eTh9YnQ","audio_features","spotify:track:3ofnkr6j3FLAHc2eTh9YnQ","0.0892"
"0.0111","Vikram Vedha (Original Motion Picture Soundtrack)","spotify:album:70cftH7NeXGgJYH3iyos0m","https://api.spotify.com/v1/audio-analysis/6iFw7ZUnDmppt1zPQLIQRG","Sethu Thankachan","spotify:artist:2ntgTx2dpzxCQDh6vG3CZp","0.627","57750","0.729","6iFw7ZUnDmppt1zPQLIQRG","0.051","2","0.104","-9.114","1","Sangu Sattham","spotify:track:6iFw7ZUnDmppt1zPQLIQRG","12","21","0.316","169.786","4","https://api.spotify.com/v1/tracks/6iFw7ZUnDmppt1zPQLIQRG","audio_features","spotify:track:6iFw7ZUnDmppt1zPQLIQRG","0.155"
"0.0115","This Is Acting (Deluxe Version)","spotify:album:2eV6DIPDnGl1idcjww6xyX","https://api.spotify.com/v1/audio-analysis/6MowG7MRVgPfGlCMsXKMJ2","Sia","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","0.438","252440","0.805","6MowG7MRVgPfGlCMsXKMJ2","0.000667","5","0.133","-4.284","0","Bird Set Free","spotify:track:6MowG7MRVgPfGlCMsXKMJ2","12","66","0.0728","150.174","4","https://api.spotify.com/v1/tracks/6MowG7MRVgPfGlCMsXKMJ2","audio_features","spotify:track:6MowG7MRVgPfGlCMsXKMJ2","0.31"
"0.619","Madharasapattinam (Original Motion Picture Soundtrack)","spotify:album:6ffYI02SEVQbb3qRgdpJGk","https://api.spotify.com/v1/audio-analysis/1kEBn42BGm8y3nQUjQvUve","G.V. Prakash Kumar","spotify:artist:5VVN3xZw1i2qihfITZlvCZ","0.537","370613","0.393","1kEBn42BGm8y3nQUjQvUve","0.00928","5","0.0873","-14.671","1","Aaruyire","spotify:track:1kEBn42BGm8y3nQUjQvUve","12","19","0.0406","96.95","4","https://api.spotify.com/v1/tracks/1kEBn42BGm8y3nQUjQvUve","audio_features","spotify:track:1kEBn42BGm8y3nQUjQvUve","0.26"
"0.215","Omkara","spotify:album:2ni91Enmppk7MZvrLSmrkf","https://api.spotify.com/v1/audio-analysis/0mELPRLKHOvKUW52nr05v2","Rahat Fateh Ali Khan","spotify:artist:3OLGltG8UPIea8sA4w0yg0","0.736","322920","0.703","0mELPRLKHOvKUW52nr05v2","0.000378","7","0.0843","-10.431","1","Omkara","spotify:track:0mELPRLKHOvKUW52nr05v2","12","23","0.0411","98.014","4","https://api.spotify.com/v1/tracks/0mELPRLKHOvKUW52nr05v2","audio_features","spotify:track:0mELPRLKHOvKUW52nr05v2","0.754"
"0.172","Zubeidaa (Original Motion Picture Soundtrack)","spotify:album:5t0wkaiJ86D3MtdBhUevkd","https://api.spotify.com/v1/audio-analysis/6t58JkcsNMIZAJrtwmGa8M","A.R. Rahman","spotify:artist:1mYsTxnqsietFxj1OgoGbG","0.769","301533","0.499","6t58JkcsNMIZAJrtwmGa8M","0","7","0.0844","-9.76","1","Main Albeli","spotify:track:6t58JkcsNMIZAJrtwmGa8M","12","16","0.143","132.994","4","https://api.spotify.com/v1/tracks/6t58JkcsNMIZAJrtwmGa8M","audio_features","spotify:track:6t58JkcsNMIZAJrtwmGa8M","0.517"
"0.336","Villu","spotify:album:5Mlq5pDbBuErZqJVhdqx5V","https://api.spotify.com/v1/audio-analysis/7AjIjHQQ71P2naY5dbCBku","Devi Sri Prasad","spotify:artist:5sSzCxHtgL82pYDvx2QyEU","0.749","283680","0.955","7AjIjHQQ71P2naY5dbCBku","0.0484","7","0.106","-4.224","1","Hey Rama Rama","spotify:track:7AjIjHQQ71P2naY5dbCBku","12","20","0.248","160.457","4","https://api.spotify.com/v1/tracks/7AjIjHQQ71P2naY5dbCBku","audio_features","spotify:track:7AjIjHQQ71P2naY5dbCBku","0.586"
"0.0612","1989","spotify:album:2QJmrSgbdM35R67eoGQo4j","https://api.spotify.com/v1/audio-analysis/59HjlYCeBsxdI0fcm3zglw","Taylor Swift","spotify:artist:06HL4z0CvFAxyc27GXpf02","0.556","220440","0.688","59HjlYCeBsxdI0fcm3zglw","0.00256","8","0.112","-7.328","1","Wildest Dreams","spotify:track:59HjlYCeBsxdI0fcm3zglw","12","71","0.0856","140.011","4","https://api.spotify.com/v1/tracks/59HjlYCeBsxdI0fcm3zglw","audio_features","spotify:track:59HjlYCeBsxdI0fcm3zglw","0.459"
"0.446","I (Original Motion Picture Soundtrack)","spotify:album:1fYpftlxL5gVVKIz8kZ8lr","https://api.spotify.com/v1/audio-analysis/5Nuv6312XkkZd82AnnSc9g","A.R. Rahman","spotify:artist:1mYsTxnqsietFxj1OgoGbG","0.678","308162","0.776","5Nuv6312XkkZd82AnnSc9g","0","2","0.127","-5.827","1","Pookkalae Sattru Oyivedungal","spotify:track:5Nuv6312XkkZd82AnnSc9g","11","34","0.0828","85.942","4","https://api.spotify.com/v1/tracks/5Nuv6312XkkZd82AnnSc9g","audio_features","spotify:track:5Nuv6312XkkZd82AnnSc9g","0.625"
"0.942","Tribute to Bruno Mars: Unorthodox Jukebox","spotify:album:58eokzVhs7tjZvwXadQaiG","https://api.spotify.com/v1/audio-analysis/2i8pZ61jzUjfVQPYXMiiRB","Molotov Cocktail Piano","spotify:artist:72fQWyXObQBgUIUejMo6js","0.548","227240","0.444","2i8pZ61jzUjfVQPYXMiiRB","0.843","5","0.132","-11.659","1","Locked Out of Heaven","spotify:track:2i8pZ61jzUjfVQPYXMiiRB","11","0","0.0415","146.043","3","https://api.spotify.com/v1/tracks/2i8pZ61jzUjfVQPYXMiiRB","audio_features","spotify:track:2i8pZ61jzUjfVQPYXMiiRB","0.693"
"0.993","Amazing Brass","spotify:album:5KWWUY8wIjGaqkwJBXRvxY","https://api.spotify.com/v1/audio-analysis/5SXx1E3J2BHUb243qHSfp1","Canadian Brass","spotify:artist:51LdwFHCk1yoK1jELZ4VOu","0.395","514520","0.333","5SXx1E3J2BHUb243qHSfp1","0.907","2","0.122","-14.487","0","Toccata and Fugue in D Minor","spotify:track:5SXx1E3J2BHUb243qHSfp1","11","1","0.0486","92.149","4","https://api.spotify.com/v1/tracks/5SXx1E3J2BHUb243qHSfp1","audio_features","spotify:track:5SXx1E3J2BHUb243qHSfp1","0.141"
"0.994","Amazing Brass","spotify:album:5KWWUY8wIjGaqkwJBXRvxY","https://api.spotify.com/v1/audio-analysis/6J5HpHp4OtqL47kthRTwzP","Canadian Brass","spotify:artist:51LdwFHCk1yoK1jELZ4VOu","0.608","220533","0.421","6J5HpHp4OtqL47kthRTwzP","0.928","10","0.268","-10.91","1","Arrival of the Queen of Sheba","spotify:track:6J5HpHp4OtqL47kthRTwzP","11","0","0.0414","102.057","4","https://api.spotify.com/v1/tracks/6J5HpHp4OtqL47kthRTwzP","audio_features","spotify:track:6J5HpHp4OtqL47kthRTwzP","0.618"
"0.00385","Mylo Xyloto","spotify:album:2R7iJz5uaHjLEVnMkloO18","https://api.spotify.com/v1/audio-analysis/4HXOBjwv2RnLpGG4xWOO6N","Coldplay","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","0.425","239216","0.69","4HXOBjwv2RnLpGG4xWOO6N","0.0154","0","0.287","-6.221","1","Princess of China","spotify:track:4HXOBjwv2RnLpGG4xWOO6N","11","67","0.0351","84.99","4","https://api.spotify.com/v1/tracks/4HXOBjwv2RnLpGG4xWOO6N","audio_features","spotify:track:4HXOBjwv2RnLpGG4xWOO6N","0.233"
"0.9","Les Misérables: Highlights From The Motion Picture Soundtrack","spotify:album:5zf4V2kytJQDkr1lETFsQ7","https://api.spotify.com/v1/audio-analysis/7z3FhNUuOdcoClnEEEfSZ3","Aaron Tveit","spotify:artist:68h2f0WXn4zEctSgNYozXx","0.446","101933","0.042","7z3FhNUuOdcoClnEEEfSZ3","0","5","0.0842","-21.641","1","Drink With Me","spotify:track:7z3FhNUuOdcoClnEEEfSZ3","11","22","0.0486","96.076","4","https://api.spotify.com/v1/tracks/7z3FhNUuOdcoClnEEEfSZ3","audio_features","spotify:track:7z3FhNUuOdcoClnEEEfSZ3","0.263"
"0.171","Vaaranam Aayiram (Original Motion Picture Soundtrack)","spotify:album:58rfEEYCmEImlPaaqQddVF","https://api.spotify.com/v1/audio-analysis/2YoPh281gD3xPnTkojVSr3","Harris Jayaraj","spotify:artist:29aw5YCdIw2FEXYyAJZI8l","0.719","315547","0.645","2YoPh281gD3xPnTkojVSr3","1.12E-05","2","0.0934","-7.017","1","Adiyae Kolluthey","spotify:track:2YoPh281gD3xPnTkojVSr3","11","31","0.0343","118.983","4","https://api.spotify.com/v1/tracks/2YoPh281gD3xPnTkojVSr3","audio_features","spotify:track:2YoPh281gD3xPnTkojVSr3","0.711"
"0.988","Lullaby Renditions of Imagine Dragons - Night Visions","spotify:album:5VQVpZk5CC2RIbogQy6i86","https://api.spotify.com/v1/audio-analysis/57trHMlrIcMuEsyhl995Wr","Baby Rockstar","spotify:artist:15iMtJbJKXK6CtYwhg1oTR","0.65","294846","0.0974","57trHMlrIcMuEsyhl995Wr","0.923","0","0.0767","-16.356","1","On Top of the World","spotify:track:57trHMlrIcMuEsyhl995Wr","11","2","0.0465","107.822","4","https://api.spotify.com/v1/tracks/57trHMlrIcMuEsyhl995Wr","audio_features","spotify:track:57trHMlrIcMuEsyhl995Wr","0.127"
"0.00529","Smoke + Mirrors (Deluxe)","spotify:album:6ecx4OFG0nlUMqAi9OXQER","https://api.spotify.com/v1/audio-analysis/5dvDAORqUH5xoO8bfv0hlG","Imagine Dragons","spotify:artist:53XhwfbYqKCa1cC15pYq2q","0.419","218280","0.818","5dvDAORqUH5xoO8bfv0hlG","0.0986","9","0.115","-7.466","1","Summer","spotify:track:5dvDAORqUH5xoO8bfv0hlG","11","48","0.0319","108.872","3","https://api.spotify.com/v1/tracks/5dvDAORqUH5xoO8bfv0hlG","audio_features","spotify:track:5dvDAORqUH5xoO8bfv0hlG","0.595"
"0.199","American Teen","spotify:album:6kf46HbnYCZzP6rjvQHYzg","https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY","Khalid","spotify:artist:6LuN9FCkKOj5PcnpouEgny","0.798","202547","0.539","5Z3GHaZ6ec9bsiI5BenrbY","1.66E-05","1","0.165","-6.351","1","Young Dumb & Broke","spotify:track:5Z3GHaZ6ec9bsiI5BenrbY","11","94","0.0421","136.949","4","https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY","audio_features","spotify:track:5Z3GHaZ6ec9bsiI5BenrbY","0.394"
"0.12","Dil Se (Original Motion Picture Soundtrack)","spotify:album:54NUwj7U1MOhA1ZGbnhiMz","https://api.spotify.com/v1/audio-analysis/16W3Eqvgh4Sl84RoHZYnNV","Lata Mangeshkar","spotify:artist:61JrslREXq98hurYL2hYoc","0.767","309107","0.503","16W3Eqvgh4Sl84RoHZYnNV","9.56E-05","9","0.158","-13.424","1","Jiya Jale","spotify:track:16W3Eqvgh4Sl84RoHZYnNV","11","29","0.0828","141.996","4","https://api.spotify.com/v1/tracks/16W3Eqvgh4Sl84RoHZYnNV","audio_features","spotify:track:16W3Eqvgh4Sl84RoHZYnNV","0.483"
